"variable_en","unit_en","name_en","description_en","method_en","sampling_period_en","topic_en","variable_fr","unit_fr","name_fr","description_fr","method_fr","sampling_period_fr","topic_fr","source","preferred_hydrological_month","is_date","to_normalise","palette","script_path"
"ETPA","mm","Cumulative annual evapotranspiration","","","09-01, 08-31","Evapotranspiration, Average, Intensity","ETPA","mm","Cumul des évapotranspirations annuelles","","","01-09, 31-08","Évapotranspiration, Moyenne, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Evapotranspiration/ETPA.R"
"BFI_Wal","without unit","Baseflow index","Ratio between mean inter-annual base flow and mean inter-annual flow","1. no temporal aggregation - extraction of the base flow (Wallingford)
2. no temporal aggregation - calculation of the Base Flow Index (BFI)",NA,"Flow, Base Flow, Intensity","BFI_Wal","sans unité","Indice de débit de base","Rapport entre débit de base moyen inter-annuel et débit moyen inter-annuel","1. aucune agrégation temporelle - extraction du débit de base (Wallingford)
2. aucune agrégation temporelle - calcul du BFI",NA,"Débit, Débit de Base, Intensité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",NA,FALSE,FALSE,NA,"Flow/Baseflow/criteria/BFI_Wal.R"
"BFM","without unit","Baseflow magnitude","","1. no temporal aggregation - extraction of the base flow (Wallingford)
2. aggregation by day of the year - average of the base flow BFA
3. no temporal aggregation - calculation of the base flow magnitude BFM",NA,"Flow, Base Flow, Intensity","BFM","sans unité","Magnitude du débit de base","","1. aucune agrégation temporelle - extraction du débit de base (Wallingford)
2. agrégation par jour de l’année - moyenne du débit de base BFA
3. aucune agrégation temporelle - calcul du BFM",NA,"Débit, Débit de Base, Intensité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",NA,FALSE,FALSE,NA,"Flow/Baseflow/criteria/BFM.R"
"delta{BFI}_LH_H1","without unit","Change of baseflow index between the near horizon and historical period (Lyne and Hollick)","Ratio between mean inter-annual base flow and mean inter-annual flow","1. no temporal aggregation - extraction of the base flow (Lyne and Hollick)
2. no temporal aggregation - calculation of the BFI change between the historical period and the near horizon",NA,"Flow, Base Flow, Intensity","delta{BFI}_LH_H1","sans unité","Changement de l'indice de débit de base entre l'horizon proche et la période historique (Lyne et Hollick)","Rapport entre débit de base moyen inter-annuel et débit moyen inter-annuel","1. aucune agrégation temporelle - extraction du débit de base (Lyne et Hollick)
2. aucune agrégation temporelle - calcul du changement de BFI entre la période historique et l'horizon proche",NA,"Débit, Débit de Base, Intensité",NA,NA,FALSE,FALSE,NA,"Flow/Baseflow/criteria/delta{BFI}_LH_H.R"
"delta{BFI}_LH_H2","without unit","Change of baseflow index between the middle horizon and historical period (Lyne and Hollick)","Ratio between mean inter-annual base flow and mean inter-annual flow","1. no temporal aggregation - extraction of the base flow (Lyne and Hollick)
2. no temporal aggregation - calculation of the BFI change between the historical period and the middle horizon",NA,"Flow, Base Flow, Intensity","delta{BFI}_LH_H2","sans unité","Changement de l'indice de débit de base entre l'horizon moyen et la période historique (Lyne et Hollick)","Rapport entre débit de base moyen inter-annuel et débit moyen inter-annuel","1. aucune agrégation temporelle - extraction du débit de base (Lyne et Hollick)
2. aucune agrégation temporelle - calcul du changement de BFI entre la période historique et l'horizon moyen",NA,"Débit, Débit de Base, Intensité",NA,NA,FALSE,FALSE,NA,"Flow/Baseflow/criteria/delta{BFI}_LH_H.R"
"delta{BFI}_LH_H3","without unit","Change of baseflow index between the distant horizon and historical period (Lyne and Hollick)","Ratio between mean inter-annual base flow and mean inter-annual flow","1. no temporal aggregation - extraction of the base flow (Lyne and Hollick)
2. no temporal aggregation - calculation of the BFI change between the historical period and the distant horizon",NA,"Flow, Base Flow, Intensity","delta{BFI}_LH_H3","sans unité","Changement de l'indice de débit de base entre l'horizon lointain et la période historique (Lyne et Hollick)","Rapport entre débit de base moyen inter-annuel et débit moyen inter-annuel","1. aucune agrégation temporelle - extraction du débit de base (Lyne et Hollick)
2. aucune agrégation temporelle - calcul du changement de BFI entre la période historique et l'horizon lointain",NA,"Débit, Débit de Base, Intensité",NA,NA,FALSE,FALSE,NA,"Flow/Baseflow/criteria/delta{BFI}_LH_H.R"
"delta{BFI}_Wal_H1","without unit","Change of baseflow index between the near horizon and historical period (Wallingford)","Ratio between mean inter-annual base flow and mean inter-annual flow","1. no temporal aggregation - extraction of the base flow (Wallingford)
2. no temporal aggregation - calculation of the BFI change between the historical period and the near horizon",NA,"Flow, Base Flow, Intensity","delta{BFI}_Wal_H1","sans unité","Changement de l'indice de débit de base entre l'horizon proche et la période historique (Wallingford)","Rapport entre débit de base moyen inter-annuel et débit moyen inter-annuel","1. aucune agrégation temporelle - extraction du débit de base (Wallingford)
2. aucune agrégation temporelle - calcul du changement de BFI entre la période historique et l'horizon proche",NA,"Débit, Débit de Base, Intensité",NA,NA,FALSE,FALSE,NA,"Flow/Baseflow/criteria/delta{BFI}_Wal_H.R"
"delta{BFI}_Wal_H2","without unit","Change of baseflow index between the middle horizon and historical period (Wallingford)","Ratio between mean inter-annual base flow and mean inter-annual flow","1. no temporal aggregation - extraction of the base flow (Wallingford)
2. no temporal aggregation - calculation of the BFI change between the historical period and the middle horizon",NA,"Flow, Base Flow, Intensity","delta{BFI}_Wal_H2","sans unité","Changement de l'indice de débit de base entre l'horizon moyen et la période historique (Wallingford)","Rapport entre débit de base moyen inter-annuel et débit moyen inter-annuel","1. aucune agrégation temporelle - extraction du débit de base (Wallingford)
2. aucune agrégation temporelle - calcul du changement de BFI entre la période historique et l'horizon moyen",NA,"Débit, Débit de Base, Intensité",NA,NA,FALSE,FALSE,NA,"Flow/Baseflow/criteria/delta{BFI}_Wal_H.R"
"delta{BFI}_Wal_H3","without unit","Change of baseflow index between the distant horizon and historical period (Wallingford)","Ratio between mean inter-annual base flow and mean inter-annual flow","1. no temporal aggregation - extraction of the base flow (Wallingford)
2. no temporal aggregation - calculation of the BFI change between the historical period and the distant horizon",NA,"Flow, Base Flow, Intensity","delta{BFI}_Wal_H3","sans unité","Changement de l'indice de débit de base entre l'horizon lointain et la période historique (Wallingford)","Rapport entre débit de base moyen inter-annuel et débit moyen inter-annuel","1. aucune agrégation temporelle - extraction du débit de base (Wallingford)
2. aucune agrégation temporelle - calcul du changement de BFI entre la période historique et l'horizon lointain",NA,"Débit, Débit de Base, Intensité",NA,NA,FALSE,FALSE,NA,"Flow/Baseflow/criteria/delta{BFI}_Wal_H.R"
"delta{centerBF}_H1","day","Average change of the center of low flows between the near horizon and historical period","Date when 50 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date when the baseflow (Wallingford) sum corresponds to 50 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","09-01, 08-31","Flow, Baseflow, Seasonality","delta{centreQB}_H1","jour","Changement moyen du centre des écoulements lents entre l'horizon proche et la période historique","Date à laquelle 50 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) correspond à 50 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/criteria/delta{centerBF}_H.R"
